Year,Month,YearMonth,Fuel QR Implemented,Fuel Imports,Total Imports,NCPI Headline Inflation,GDP(Rs Million)
2020,1,2020-01,QR No,291.8531364,1735.327088,7.6,4165667
2020,2,2020-02,QR No,418.7203216,1562.323837,8.1,4165667
2020,3,2020-03,QR No,237.6580377,1205.049203,7,4165667
2020,4,2020-04,QR No,121.8176107,1122.606963,5.9,3161022
2020,5,2020-05,QR No,62.89918273,993.8228129,5.2,3161022
2020,6,2020-06,QR No,110.4490978,1055.451288,6.3,3161022
2020,7,2020-07,QR No,200.2948241,1293.694314,6.1,4227547
2020,8,2020-08,QR No,247.5143625,1289.08801,6.2,4227547
2020,9,2020-09,QR No,213.9530829,1524.884995,6.4,4227547
2020,10,2020-10,QR No,223.4165005,1362.780387,5.5,4117300
2020,11,2020-11,QR No,178.9215452,1383.700511,5.2,4117300
2020,12,2020-12,QR No,235.0828118,1526.647033,4.6,4117300
2021,1,2021-01,QR No,309.8443069,1591.590197,3.7,4592330
2021,2,2021-02,QR No,320.1593754,1523.581302,4.2,4592330
2021,3,2021-03,QR No,347.1508404,1925.931706,5.1,4592330
2021,4,2021-04,QR No,413.1793232,1706.940578,5.5,3887480
2021,5,2021-05,QR No,330.5391716,1607.433674,6.1,3887480
2021,6,2021-06,QR No,66.28857421,1659.205527,6.1,3887480
2021,7,2021-07,QR No,256.0488529,1710.095742,6.8,4395880
2021,8,2021-08,QR No,352.67379,1686.667504,6.7,4395880
2021,9,2021-09,QR No,200.9496504,1526.032657,6.2,4395880
2021,10,2021-10,QR No,384.9822222,1694.276926,8.3,4724501
2021,11,2021-11,QR No,318.5596593,1764.628144,11.1,4724501
2021,12,2021-12,QR No,442.4838331,2240.979741,14,4724501
2022,1,2022-01,QR No,430.3072287,1959.383635,16.8,5543306
2022,2,2022-02,QR No,462.15223,1872.949286,17.5,5543306
2022,3,2022-03,QR No,519.8465793,1818.912312,21.5,5543306
2022,4,2022-04,QR No,510.1150285,1698.96198,33.8,5442362
2022,5,2022-05,QR No,461.4230284,1451.464147,45.3,5442362
2022,6,2022-06,QR No,200.09369,1226.475254,58.9,5442362
2022,7,2022-07,QR No,345.375297,1286.843884,66.7,6586602
2022,8,2022-08,QR Yes,388.5733882,1485.870236,70.2,6586602
2022,9,2022-09,QR Yes,376.4335678,1284.363139,73.7,6586602
2022,10,2022-10,QR Yes,396.5366305,1335.665026,70.6,6575456
2022,11,2022-11,QR Yes,422.3710963,1444.56415,65,6575456
2022,12,2022-12,QR Yes,383.5490271,1425.563354,59.2,6575456
2023,1,2023-01,QR Yes,516.5039395,1423.369464,53.2,7328574
2023,2,2023-02,QR Yes,204.2710194,1021.043614,53.6,7328574
2023,3,2023-03,QR Yes,391.0504143,1449.542402,49.2,7328574
2023,4,2023-04,QR Yes,523.2679662,1431.196809,33.6,6145452
2023,5,2023-05,QR Yes,429.7564375,1466.26466,22.1,6145452
2023,6,2023-06,QR Yes,289.9998326,1369.086346,10.8,6145452
2023,7,2023-07,QR Yes,381.0154467,1387.556282,4.6,6145452
2023,8,2023-08,QR Yes,343.6819026,1426.021696,2.1,6145452
